subject,age,condition,v,a
5c40134b1580e900012320ab,43,Accuracy,2.873098342976296,1.2277614157099763
5c567e2acc53750001751cb0,75,Speed,2.413746614106444,1.4867048003425942
5c567e2acc53750001751cb0,75,Accuracy,3.7445920561867703,1.66968473935843
5c59e6519dd64d00018adaa8,24,Speed,1.0804565118759237,0.5439497199862559
5c59e6519dd64d00018adaa8,24,Accuracy,1.4368370743840138,1.4410946063579924
5c6e3a445d427900014b360c,33,Speed,1.0574579130180388,0.4369693512356406
5c6e3a445d427900014b360c,33,Accuracy,2.861849423958651,1.548768397097536
5c6f2e7632cb70000169b490,47,Speed,3.085141394577357,1.1296673876547085
5c6f2e7632cb70000169b490,47,Accuracy,3.810400021809786,1.4679694974451405
5c7853cecad0dc0001e56ec5,43,Speed,1.9307823114540204,1.3072428903597535
5c7853cecad0dc0001e56ec5,43,Accuracy,2.3671920789108167,1.506744065474511
5c8f224c9d2bff0001867ce2,38,Speed,3.205519303652908,1.0183253615555108
5c8f224c9d2bff0001867ce2,38,Accuracy,3.3671348811243256,1.0842599967273903
5c90094e71f3100016181ea9,43,Speed,1.7971068644906292,0.799705499479596
5c90094e71f3100016181ea9,43,Accuracy,1.8939655221341685,0.8195275755308105
5cd34d42fe890a00174debb5,22,Speed,2.0237509312924526,0.6056763448149933
5cd34d42fe890a00174debb5,22,Accuracy,3.2807861972554253,1.174859431417153
5ce42b3454e33d001918923a,73,Speed,2.430355271840264,0.9445003620204523
5ce42b3454e33d001918923a,73,Accuracy,2.5321097714903718,0.9238985027172769
5cf3f7364bcc6400019d71fa,66,Speed,3.181483763631475,1.632011470626058
5cf3f7364bcc6400019d71fa,66,Accuracy,3.408131494194491,1.5782960568008413
5cf6150ce42af100015a90c4,53,Speed,2.7760361390153365,1.5027072311148872
5cf6150ce42af100015a90c4,53,Accuracy,3.465072242533573,1.293278748549787
5d0d3bc8f403080016411213,36,Speed,2.15806367781164,0.8138163172462697
5d0d3bc8f403080016411213,36,Accuracy,2.331099167664706,0.8124185199169688
5d41e832b0ca7200169d857e,85,Speed,2.0122476885110196,1.6257500134483227
5d41e832b0ca7200169d857e,85,Accuracy,2.724562888058276,1.3231533558810875
5d617ba9364f9a0019f1dac3,37,Speed,2.831604247709181,0.9510767832753865
5d617ba9364f9a0019f1dac3,37,Accuracy,3.064017419391505,1.1245344004757731
5d649652adc4e8001a2d258d,58,Speed,3.1969444774210447,1.4654847764467078
5d649652adc4e8001a2d258d,58,Accuracy,2.9423440745792226,1.519793900955531
5d75552566edbe0001356a20,66,Speed,2.6306399624654415,0.9196521478670433
5d75552566edbe0001356a20,66,Accuracy,3.265498732254024,1.198328580613207
5dcec32a367c6d000a4282c2,70,Speed,2.8370401507059295,0.9854462163689321
5dcec32a367c6d000a4282c2,70,Accuracy,3.5476017976133294,1.515726044667748
5df80710e297d55a34ee39f0,33,Speed,1.2393165319504682,0.4742666538083937
5df80710e297d55a34ee39f0,33,Accuracy,1.2869594940107754,0.7555664065211021
5e1a72b0d370f42ef4051dc1,24,Speed,2.769435231924322,0.747088205090824
5e1a72b0d370f42ef4051dc1,24,Accuracy,2.8462748650248253,1.1213274559687925
5e1fc8d45427912f6143b012,60,Speed,3.788337278313266,1.2468499571506673
5e1fc8d45427912f6143b012,60,Accuracy,4.413509805147127,1.3364413180614227
5e85088b3f06400f3f75e21f,35,Speed,4.4613839891080564,0.6703033998870102
5e85088b3f06400f3f75e21f,35,Accuracy,5.56497999363216,1.0245979796725062
5e8cf14c0bec230b335e060d,47,Speed,3.319087714602309,1.0348526018516877
5e8cf14c0bec230b335e060d,47,Accuracy,3.2966171795055694,1.0689423539274923
5e93e2a7a5de13720dffc7f9,46,Speed,3.191928930915795,1.0777729187019474
5e93e2a7a5de13720dffc7f9,46,Accuracy,3.1958030321915984,1.283728333786125
5e9e5208595cb12230f38262,46,Speed,2.1616609024916755,0.7955783978123233
5e9e5208595cb12230f38262,46,Accuracy,2.6682636768775456,1.268958699900861
5ea47bda5b1a9807ed89eb76,77,Speed,1.322168788171513,0.4305306035037436
5ea47bda5b1a9807ed89eb76,77,Accuracy,2.9533879528499707,1.4775145181227547
5eab09eb60ed4e0ae2dc694f,66,Speed,1.4781279686461621,0.31737600298639246
5eab09eb60ed4e0ae2dc694f,66,Accuracy,3.1454699345094506,1.407664542636594
5ebe015ae70ab70008895dbd,60,Speed,3.5167315733722644,0.9623470732654651
5ebe015ae70ab70008895dbd,60,Accuracy,3.2962263644574676,1.0060569560198314
5ec1c41a1f98090e8c119332,36,Speed,3.0233341249686405,0.7038552949132949
5ec1c41a1f98090e8c119332,36,Accuracy,3.6765546598519223,1.2990448282459082
5ef035131f1b2a546b44c391,72,Speed,3.8288346775879867,1.592592399791338
5ef035131f1b2a546b44c391,72,Accuracy,3.753674978373754,1.4488414427584129
5ef6308c40846d2dfca0b66a,50,Speed,2.1616683345826124,1.0620579825515204
5ef6308c40846d2dfca0b66a,50,Accuracy,2.4606667416067736,1.2195497729467015
5f1230c4f57b2f06e2465477,81,Speed,1.2800525124050117,0.5382588396678026
5f1230c4f57b2f06e2465477,81,Accuracy,2.0353179605051026,1.1628162449163368
5f2f86864fd821374b4367bc,29,Speed,1.318598195931778,0.6536096558213345
5f2f86864fd821374b4367bc,29,Accuracy,1.871745626263491,1.1117881906461153
5f4f93bcb46af5055714d433,57,Speed,1.5050822754523139,0.9385195820942537
5f4f93bcb46af5055714d433,57,Accuracy,2.255138604765141,1.718520781577298
5f52e45ad408d55fa156aa21,30,Speed,2.843395214763725,0.7141417192561891
5f52e45ad408d55fa156aa21,30,Accuracy,3.9264052827186466,1.6135763567356753
5f773334d74b082186824cac,44,Speed,2.2712957460351837,0.7227928989647637
5f773334d74b082186824cac,44,Accuracy,2.655512407028231,1.1446347382746733
