subject,age,condition,block_type,v,a
58189c1f883c8800010ee630,50,Speed,Fixed,1.8518324325077518,1.0356586018442602
58189c1f883c8800010ee630,50,Speed,Varying,1.9650653427187654,1.0916210097671335
58189c1f883c8800010ee630,50,Accuracy,Fixed,2.478319536327315,1.1105124984733303
58189c1f883c8800010ee630,50,Accuracy,Varying,2.0472218453386812,1.0988085799056357
58b2338a898c2e0001a5ca56,62,Speed,Fixed,2.243965874809972,1.071442359181763
58b2338a898c2e0001a5ca56,62,Speed,Varying,1.7015493754708564,0.977585654156491
58b2338a898c2e0001a5ca56,62,Accuracy,Fixed,3.1274536812823244,1.016950003502272
58b2338a898c2e0001a5ca56,62,Accuracy,Varying,2.922709443030332,1.0188269813711448
598ba20f716a2c000187ce01,52,Speed,Fixed,3.333338607620863,0.5818896285801259
598ba20f716a2c000187ce01,52,Speed,Varying,2.84814721808394,0.7165983999419475
598ba20f716a2c000187ce01,52,Accuracy,Fixed,5.378089458735929,1.3950443429406183
598ba20f716a2c000187ce01,52,Accuracy,Varying,4.030970093756376,1.2309928291030754
59c41e340c5fc800011940f3,59,Speed,Fixed,1.6555446507806049,0.6118359869396581
59c41e340c5fc800011940f3,59,Speed,Varying,1.9077026454404318,0.43227435191671054
59c41e340c5fc800011940f3,59,Accuracy,Fixed,4.2815588471159955,1.3854963599665657
59c41e340c5fc800011940f3,59,Accuracy,Varying,4.226702044150192,1.2524624664426902
59e62b6277860e0001512e14,70,Speed,Fixed,1.2585609667069493,0.8222423468810276
59e62b6277860e0001512e14,70,Speed,Varying,1.87209223470424,1.3307638487726121
59e62b6277860e0001512e14,70,Accuracy,Fixed,2.5491198966769746,1.2467844694811097
59e62b6277860e0001512e14,70,Accuracy,Varying,2.4890124304919965,1.2371503588924695
5a5d0554ac562400015402dd,63,Speed,Fixed,1.208718295980239,0.6134336355962425
5a5d0554ac562400015402dd,63,Speed,Varying,1.1572468307754595,0.5189008375441709
5a5d0554ac562400015402dd,63,Accuracy,Fixed,2.146335173023306,1.2133344670155288
5a5d0554ac562400015402dd,63,Accuracy,Varying,2.179945937157848,1.1804119138762414
5a7a88b1f1408d0001761d2d,46,Speed,Fixed,2.648762108369711,1.134285485534467
5a7a88b1f1408d0001761d2d,46,Speed,Varying,2.9171837203449247,1.278592001639736
5a7a88b1f1408d0001761d2d,46,Accuracy,Fixed,2.636183747049217,1.1684407498420666
5a7a88b1f1408d0001761d2d,46,Accuracy,Varying,2.4878332523657365,1.251617302841947
5ab9d6b0e734400001d9b76a,56,Speed,Fixed,1.6579366580491217,1.2435844032081984
5ab9d6b0e734400001d9b76a,56,Speed,Varying,2.6009798081060636,1.2490189480536096
5ab9d6b0e734400001d9b76a,56,Accuracy,Fixed,2.374572777407143,1.5599878032283467
5ab9d6b0e734400001d9b76a,56,Accuracy,Varying,2.6704609184306474,1.6843725982787576
5add6b6aeb60400001536f2c,70,Speed,Fixed,3.3734339032549903,1.012316793924844
5add6b6aeb60400001536f2c,70,Speed,Varying,3.739134813642197,1.0119425581888706
5add6b6aeb60400001536f2c,70,Accuracy,Fixed,3.7637693126988285,1.289219239153837
5add6b6aeb60400001536f2c,70,Accuracy,Varying,3.2747782987217926,0.969386895497079
5b180cd1db971600013d34cc,38,Speed,Fixed,1.8718646904267433,0.6865050927775895
5b180cd1db971600013d34cc,38,Speed,Varying,1.9045961188419842,0.7519629980638269
5b180cd1db971600013d34cc,38,Accuracy,Fixed,3.1145995067759684,1.174505012073901
5b180cd1db971600013d34cc,38,Accuracy,Varying,2.3143467524713244,1.0152259705306843
5b4e482fb8b20a00015a9e2e,86,Speed,Fixed,1.6750916558582063,0.39120524497881337
5b4e482fb8b20a00015a9e2e,86,Speed,Varying,2.5464495785330556,1.4726307845785962
5b4e482fb8b20a00015a9e2e,86,Accuracy,Fixed,2.577521633425334,1.1307121502768858
5b4e482fb8b20a00015a9e2e,86,Accuracy,Varying,2.580684761490598,1.1034391564514807
5ba4057af0741400010637b9,61,Speed,Fixed,1.383026020113302,0.8464947061709985
5ba4057af0741400010637b9,61,Speed,Varying,3.131635258322039,1.9120823336879562
5ba4057af0741400010637b9,61,Accuracy,Fixed,2.992841471280752,1.5502419155231797
5ba4057af0741400010637b9,61,Accuracy,Varying,3.5953390676259382,1.7652311862663628
5bc934c69427200001dd4ef2,67,Speed,Fixed,2.270164977688395,1.1092418395310522
5bc934c69427200001dd4ef2,67,Speed,Varying,2.7237158888394624,1.1860220221517777
5bc934c69427200001dd4ef2,67,Accuracy,Fixed,3.214906820373957,1.2643023343324615
5bc934c69427200001dd4ef2,67,Accuracy,Varying,2.5160813367347292,1.1199342602435296
5bdc8d12b2fff7000189b6f8,72,Speed,Fixed,2.649286422902997,0.7688645748428985
5bdc8d12b2fff7000189b6f8,72,Speed,Varying,1.8943503474950882,0.8578181374984047
5bdc8d12b2fff7000189b6f8,72,Accuracy,Fixed,3.135362127582498,1.0730709888845822
5bdc8d12b2fff7000189b6f8,72,Accuracy,Varying,2.1568461219585364,1.1621153266335558
5c03688d29abc00001991a3a,25,Speed,Fixed,1.3463813074609126,0.3419157450298291
5c03688d29abc00001991a3a,25,Speed,Varying,1.680522207198156,0.3438411727154536
