subject,age,condition,v,a
5c59e6519dd64d00018adaa8,24,Fixed,1.4806897652714892,1.0952154278322743
5c59e6519dd64d00018adaa8,24,Varying,1.0366038209884483,0.8898288985119741
5c6e3a445d427900014b360c,33,Fixed,1.941872019798773,1.0511139532434766
5c6e3a445d427900014b360c,33,Varying,1.9774353171779169,0.9346237950897001
5c6f2e7632cb70000169b490,47,Fixed,3.4378486407620903,1.2188546419799118
5c6f2e7632cb70000169b490,47,Varying,3.457692775625053,1.3787822431199372
5c7853cecad0dc0001e56ec5,43,Fixed,1.7000970764330234,1.0314224188004864
5c7853cecad0dc0001e56ec5,43,Varying,2.597877313931814,1.7825645370337782
5c8f224c9d2bff0001867ce2,38,Fixed,3.361317655536435,1.0269539554009397
5c8f224c9d2bff0001867ce2,38,Varying,3.2113365292407985,1.0756314028819614
5c90094e71f3100016181ea9,43,Fixed,1.728121316463325,0.8069084018587
5c90094e71f3100016181ea9,43,Varying,1.9629510701614727,0.8123246731517064
5cd34d42fe890a00174debb5,22,Fixed,2.6034232299691897,0.8681946796257638
5cd34d42fe890a00174debb5,22,Varying,2.701113898578688,0.9123410966063827
5ce42b3454e33d001918923a,73,Fixed,2.5996742403024347,0.9226202857653713
5ce42b3454e33d001918923a,73,Varying,2.362790803028201,0.945778578972358
5cf3f7364bcc6400019d71fa,66,Fixed,3.1129409270180903,1.5755963936460526
5cf3f7364bcc6400019d71fa,66,Varying,3.476674330807876,1.6347111337808466
5cf6150ce42af100015a90c4,53,Fixed,2.85053102470698,1.166045361750994
5cf6150ce42af100015a90c4,53,Varying,3.3905773568419293,1.6299406179136802
5d0d3bc8f403080016411213,36,Fixed,2.1465585080360996,0.7795789247453078
5d0d3bc8f403080016411213,36,Varying,2.3426043374402465,0.8466559124179307
5d41e832b0ca7200169d857e,85,Fixed,1.7824803980959987,1.1376997971187706
5d41e832b0ca7200169d857e,85,Varying,2.9543301784732967,1.8112035722106397
5d617ba9364f9a0019f1dac3,37,Fixed,3.1271162059432522,1.169334518560255
5d617ba9364f9a0019f1dac3,37,Varying,2.768505461157434,0.9062766651909044
5d649652adc4e8001a2d258d,58,Fixed,2.965995087271573,1.4820402639007064
5d649652adc4e8001a2d258d,58,Varying,3.1732934647286943,1.5032384135015324
5d75552566edbe0001356a20,66,Fixed,2.8435547375377124,1.0725944857565735
5d75552566edbe0001356a20,66,Varying,3.0525839571817532,1.0453862427236766
5dcec32a367c6d000a4282c2,70,Fixed,3.6945995804415164,1.6566287299982911
5dcec32a367c6d000a4282c2,70,Varying,2.6900423678777425,0.8445435310383891
5df80710e297d55a34ee39f0,33,Fixed,1.3780091987048126,0.5539143833336313
5df80710e297d55a34ee39f0,33,Varying,1.148266827256431,0.6759186769958645
5e1a72b0d370f42ef4051dc1,24,Fixed,2.7829780288187793,0.9831243769859984
5e1a72b0d370f42ef4051dc1,24,Varying,2.832732068130368,0.8852912840736181
5e1fc8d45427912f6143b012,60,Fixed,4.35811456272291,1.3490947690692463
5e1fc8d45427912f6143b012,60,Varying,3.843732520737484,1.2341965061428437
5e85088b3f06400f3f75e21f,35,Fixed,4.825458393463149,0.7851294726979461
5e85088b3f06400f3f75e21f,35,Varying,5.200905589277067,0.9097719068615702
5e8cf14c0bec230b335e060d,47,Fixed,3.401793806035242,1.035146605275919
5e8cf14c0bec230b335e060d,47,Varying,3.2139110880726363,1.068648350503261
5e93e2a7a5de13720dffc7f9,46,Fixed,3.1319183871340073,1.1707481627949696
5e93e2a7a5de13720dffc7f9,46,Varying,3.255813575973386,1.1907530896931027
5e9e5208595cb12230f38262,46,Fixed,2.624895558286995,0.9995600069339822
5e9e5208595cb12230f38262,46,Varying,2.2050290210822263,1.0649770907792022
5ea47bda5b1a9807ed89eb76,77,Fixed,2.256523435609028,0.9267475579142036
5ea47bda5b1a9807ed89eb76,77,Varying,2.019033305412455,0.9812975637122946
5eab09eb60ed4e0ae2dc694f,66,Fixed,2.1216116527012696,0.9098671404636263
5eab09eb60ed4e0ae2dc694f,66,Varying,2.501986250454343,0.81517340515936
5ebe015ae70ab70008895dbd,60,Fixed,3.21131634505044,0.9124594188023344
5ebe015ae70ab70008895dbd,60,Varying,3.601641592779292,1.055944610482962
5ec1c41a1f98090e8c119332,36,Fixed,3.3130107179709953,1.0200914251806343
5ec1c41a1f98090e8c119332,36,Varying,3.3868780668495675,0.9828086979785688
5ef035131f1b2a546b44c391,72,Fixed,3.5511953299194,1.491257388245301
5ef035131f1b2a546b44c391,72,Varying,4.031314326042341,1.5501764543044498
5ef6308c40846d2dfca0b66a,50,Fixed,2.4651397392392043,1.0707497865668523
5ef6308c40846d2dfca0b66a,50,Varying,2.1571953369501817,1.2108579689313697
5f1230c4f57b2f06e2465477,81,Fixed,1.4434502384905616,0.9773633423859392
5f1230c4f57b2f06e2465477,81,Varying,1.8719202344195531,0.7237117421982001
5f2f86864fd821374b4367bc,29,Fixed,1.873299315910615,1.120371070283973
5f2f86864fd821374b4367bc,29,Varying,1.317044506284654,0.6450267761834768
5f4f93bcb46af5055714d433,57,Fixed,1.9848224798303187,1.5312218613496287
5f4f93bcb46af5055714d433,57,Varying,1.7753984003871366,1.1258185023219232
5f52e45ad408d55fa156aa21,30,Fixed,3.4272007766181307,1.192579176682803
5f52e45ad408d55fa156aa21,30,Varying,3.342599720864241,1.1351388993090612
5f773334d74b082186824cac,44,Fixed,2.5310181627281234,0.9268173841204427
5f773334d74b082186824cac,44,Varying,2.3957899903352913,0.9406102531189945
5fb16308dc5973607fa3041c,60,Fixed,3.0287438590061853,1.309274346387485
5fb16308dc5973607fa3041c,60,Varying,2.9895913944994494,1.1759168118677163
5fb41cbb6ab13204137b931e,75,Fixed,2.3983123497762646,1.0037310185827557
5fb41cbb6ab13204137b931e,75,Varying,2.31865141686668,0.8526704423400233
5fc803709e587e1295172443,52,Fixed,3.248888625838736,0.8828021455979317
5fc803709e587e1295172443,52,Varying,3.2386392389448804,0.9296989529679515
5fd0ebb69497b30008547502,45,Fixed,2.1831946464505183,0.7979194008212704
5fd0ebb69497b30008547502,45,Varying,2.145143212252459,0.917281812200758
5fde4292a4d8245990ada5bc,72,Fixed,4.799101425239361,1.0366056293948829
5fde4292a4d8245990ada5bc,72,Varying,4.927228021892311,1.1132081856277678
600b283694c55c15f17e744c,39,Fixed,2.584849256359737,0.9781816258614614
600b283694c55c15f17e744c,39,Varying,2.7598005290464886,1.0241938319930006
6015ba06aa02256df4792d15,25,Fixed,3.6312581168506766,1.194192621258424
6015ba06aa02256df4792d15,25,Varying,3.6951357947114287,1.244865011035623
601c73af332e2d7ce9b9fe77,21,Fixed,1.4505869157852147,1.451242473537726
601c73af332e2d7ce9b9fe77,21,Varying,1.3844013965625064,1.3520945355985554
601dc4afec317f1e601e72c0,66,Fixed,2.1861237615160998,1.2794060284072886
601dc4afec317f1e601e72c0,66,Varying,3.0382983124946725,1.4242818052212989
60408842de0f31299ea0dadc,26,Fixed,1.9905533960887072,0.9784189586336308
60408842de0f31299ea0dadc,26,Varying,1.974961929947319,0.9097915527470356
6051536b3e81428095504b35,64,Fixed,2.1189161316325764,0.9062679428284635
6051536b3e81428095504b35,64,Varying,1.9951195916090836,0.7636866709128691
607c9f94cc974d4ea1dc22c8,67,Fixed,1.6783574664742715,0.8487822259381156
607c9f94cc974d4ea1dc22c8,67,Varying,1.7409045263459564,0.7566827849701682
60a202f048762ada5381474a,52,Fixed,1.0130587350081741,1.1452521429868046
60a202f048762ada5381474a,52,Varying,1.3180719781409536,1.2476500224386522
60b18fbfb6c5d8edfaa5bed0,67,Fixed,2.615192104270989,0.9929981317410727
60b18fbfb6c5d8edfaa5bed0,67,Varying,3.1142359389075307,0.9036570306302678
60b9689dc626572895cb801b,42,Fixed,3.3062215502007466,0.6397836422312556
60b9689dc626572895cb801b,42,Varying,3.530590530159041,0.7678272501563811
60ba46dc6d46a68f1c0bc952,57,Fixed,3.3245718567469575,1.0271687330419672
60ba46dc6d46a68f1c0bc952,57,Varying,3.2574046827646708,1.0077840747569478
60cd717e463162435e3b7d46,41,Fixed,2.7935948793770415,0.6821638130047697
60cd717e463162435e3b7d46,41,Varying,2.2561889340094967,0.7974539046472343
60dfd857e293a99dd577f4c8,66,Fixed,1.566982711811685,0.960768502255522
60dfd857e293a99dd577f4c8,66,Varying,1.8923214847140262,0.9826144720809916
60e269b58d238fbba93aed38,20,Fixed,1.8227933123428315,0.9047601751032546
60e269b58d238fbba93aed38,20,Varying,2.0529725553466784,1.3520996374393575
60f1fa8f73bf9815c88dc8cb,50,Fixed,2.4064207247081884,1.3412627732437004
60f1fa8f73bf9815c88dc8cb,50,Varying,2.9308586206476654,1.5802535259122152
60f728553a37102574b585c4,69,Fixed,2.2131076083262244,1.1768717424273756
60f728553a37102574b585c4,69,Varying,3.322128259702716,1.3337381123782215
60f8760725c31a8e9cc7ce29,85,Fixed,2.6924339173221745,1.0252133460238473
60f8760725c31a8e9cc7ce29,85,Varying,3.2878925653918833,1.8029477245458772
60fccb5af75e8814b578841c,23,Fixed,2.8269749190293667,1.1305516127094644
60fccb5af75e8814b578841c,23,Varying,3.033075503409876,1.2385476026457132
60fece35afedb0bdd821592a,45,Fixed,2.896391851479209,1.277132794296616
60fece35afedb0bdd821592a,45,Varying,2.6577035924167753,1.2855418393423386
60ff0201788cef38c8695833,25,Fixed,2.035874905476787,1.1432461751247254
60ff0201788cef38c8695833,25,Varying,2.240579632012078,1.1481058837162355
6100350440da7a959e9bdd22,22,Fixed,3.646964284497271,0.8155828442253802
6100350440da7a959e9bdd22,22,Varying,3.2429045617082557,0.9783415605925467
610631ba860f21ac066946cf,22,Fixed,2.1992858801013795,1.176147382850987
610631ba860f21ac066946cf,22,Varying,2.2487801466534614,1.1787597396940337
61081625938d8ffb2440498f,22,Fixed,2.37015770905708,1.1905176241269557
