bonus,incorrectC1,incorrectC2,uniqueid,workerid
0.0,0.0,0.0,6575fb1c1a04b30cfb2832d5:TSS_RECONF_111022,6575fb1c1a04b30cfb2832d5
0.0,0.0,0.0,601c73af332e2d7ce9b9fe77:TSS_RECONF_111022,601c73af332e2d7ce9b9fe77
0.0,0.0,0.0,611ac17a9d585411a2314882:TSS_RECONF_111022,611ac17a9d585411a2314882
0.0,0.0,0.0,6100350440da7a959e9bdd22:TSS_RECONF_111022,6100350440da7a959e9bdd22
0.0,0.0,0.0,63e995a63f886d83e6ec5881:TSS_RECONF_111022,63e995a63f886d83e6ec5881
0.0,0.0,0.0,6015ba06aa02256df4792d15:TSS_RECONF_111022,6015ba06aa02256df4792d15
0.0,0.0,0.0,610631ba860f21ac066946cf:TSS_RECONF_111022,610631ba860f21ac066946cf
0.0,0.0,0.0,64187118501afa8d9e65d63b:TSS_RECONF_111022,64187118501afa8d9e65d63b
0.0,0.0,0.0,5c59e6519dd64d00018adaa8:TSS_RECONF_111022,5c59e6519dd64d00018adaa8
0.0,0.0,0.0,63e51e55974365f1e43df265:TSS_RECONF_111022,63e51e55974365f1e43df265
0.0,0.0,0.0,613e002e81f4b2409b531dbd:TSS_RECONF_111022,613e002e81f4b2409b531dbd
0.0,0.0,0.0,612e6569f68929afb886fb5c:TSS_RECONF_111022,612e6569f68929afb886fb5c
0.0,0.0,0.0,60fccb5af75e8814b578841c:TSS_RECONF_111022,60fccb5af75e8814b578841c
0.0,0.0,0.0,655fcf54056edf3065f74b91:TSS_RECONF_111022,655fcf54056edf3065f74b91
0.0,0.0,0.0,6578c0ce1348ad8e79a65d0b:TSS_RECONF_111022,6578c0ce1348ad8e79a65d0b
0.0,,,6148d5e5f56ee71921fe6955:TSS_RECONF_111022,6148d5e5f56ee71921fe6955
0.0,0.0,0.0,5d617ba9364f9a0019f1dac3:TSS_RECONF_111022,5d617ba9364f9a0019f1dac3
0.0,0.0,0.0,63d2fe57eea8cacc91a44fdd:TSS_RECONF_111022,63d2fe57eea8cacc91a44fdd
0.0,,,63f1b6b09dd844d7802e1682:TSS_RECONF_111022,63f1b6b09dd844d7802e1682
0.0,0.0,0.0,60408842de0f31299ea0dadc:TSS_RECONF_111022,60408842de0f31299ea0dadc
0.0,0.0,0.0,5f52e45ad408d55fa156aa21:TSS_RECONF_111022,5f52e45ad408d55fa156aa21
0.0,0.0,0.0,628804d2d0584458ddaafc0c:TSS_RECONF_111022,628804d2d0584458ddaafc0c
0.0,0.0,0.0,632b5400bf46cdb11db9f588:TSS_RECONF_111022,632b5400bf46cdb11db9f588
0.0,0.0,0.0,5bc934c69427200001dd4ef2:TSS_RECONF_111022,5bc934c69427200001dd4ef2
0.0,0.0,0.0,5513256cfdf99b1607b1f47b:TSS_RECONF_111022,5513256cfdf99b1607b1f47b
0.0,0.0,0.0,5df80710e297d55a34ee39f0:TSS_RECONF_111022,5df80710e297d55a34ee39f0
0.0,0.0,0.0,65198ba1126ba439e0d8f29f:TSS_RECONF_111022,65198ba1126ba439e0d8f29f
0.0,0.0,0.0,5c8f224c9d2bff0001867ce2:TSS_RECONF_111022,5c8f224c9d2bff0001867ce2
0.0,0.0,0.0,5b180cd1db971600013d34cc:TSS_RECONF_111022,5b180cd1db971600013d34cc
0.0,0.0,0.0,6171125c1d572c106f10824e:TSS_RECONF_111022,6171125c1d572c106f10824e
0.0,,,655f8bf1ec520e7dbbb41cff:TSS_RECONF_111022,655f8bf1ec520e7dbbb41cff
0.0,0.0,0.0,60fece35afedb0bdd821592a:TSS_RECONF_111022,60fece35afedb0bdd821592a
0.0,0.0,0.0,55d86f3569dbc30012b6869f:TSS_RECONF_111022,55d86f3569dbc30012b6869f
0.0,0.0,0.0,62bdadf07a2fd70b3257e791:TSS_RECONF_111022,62bdadf07a2fd70b3257e791
0.0,0.0,0.0,62df7fc27c9e824a7a774103:TSS_RECONF_111022,62df7fc27c9e824a7a774103
0.0,0.0,0.0,5c03688d29abc00001991a3a:TSS_RECONF_111022,5c03688d29abc00001991a3a
0.0,0.0,0.0,5c6e3a445d427900014b360c:TSS_RECONF_111022,5c6e3a445d427900014b360c
0.0,0.0,0.0,6155b9c45f96867d9d9631fd:TSS_RECONF_111022,6155b9c45f96867d9d9631fd
0.0,6.0,0.0,6563003ce4f5a268a959df06:TSS_RECONF_111022,6563003ce4f5a268a959df06
0.0,0.0,0.0,6165af4b36cb3bae91f2e355:TSS_RECONF_111022,6165af4b36cb3bae91f2e355
0.0,0.0,0.0,615ce4d0388d7ca055118747:TSS_RECONF_111022,615ce4d0388d7ca055118747
0.0,1.0,0.0,615e1782e969d4939045c54f:TSS_RECONF_111022,615e1782e969d4939045c54f
0.0,0.0,0.0,631b428359f449b8159625f8:TSS_RECONF_111022,631b428359f449b8159625f8
0.0,2.0,0.0,63617d69f2a3425296c8d89e:TSS_RECONF_111022,63617d69f2a3425296c8d89e
0.0,0.0,0.0,6462477ceb093758f41d42e9:TSS_RECONF_111022,6462477ceb093758f41d42e9
0.0,0.0,0.0,651af447dcee6525fe0ac08f:TSS_RECONF_111022,651af447dcee6525fe0ac08f
0.0,0.0,0.0,5ec1c41a1f98090e8c119332:TSS_RECONF_111022,5ec1c41a1f98090e8c119332
0.0,0.0,0.0,6574bd9b9b3c601d1c28500f:TSS_RECONF_111022,6574bd9b9b3c601d1c28500f
0.0,0.0,0.0,632f7d0761bce49001d13953:TSS_RECONF_111022,632f7d0761bce49001d13953
0.0,0.0,0.0,5c567e2acc53750001751cb0:TSS_RECONF_111022,5c567e2acc53750001751cb0
0.0,0.0,0.0,5d0d3bc8f403080016411213:TSS_RECONF_111022,5d0d3bc8f403080016411213
0.0,0.0,0.0,5e85088b3f06400f3f75e21f:TSS_RECONF_111022,5e85088b3f06400f3f75e21f
0.0,0.0,0.0,651eb3bc379e71c4df3b95a7:TSS_RECONF_111022,651eb3bc379e71c4df3b95a7
0.0,0.0,0.0,5a5d0554ac562400015402dd:TSS_RECONF_111022,5a5d0554ac562400015402dd
0.0,0.0,0.0,636acaf0ab9c76f449b54f2b:TSS_RECONF_111022,636acaf0ab9c76f449b54f2b
0.0,0.0,0.0,6172b85dcc19bffb22604f1b:TSS_RECONF_111022,6172b85dcc19bffb22604f1b
0.0,0.0,0.0,611e99910d64a6ea6d18b0a6:TSS_RECONF_111022,611e99910d64a6ea6d18b0a6
0.0,0.0,0.0,56caf7b564c068000c4d798a:TSS_RECONF_111022,56caf7b564c068000c4d798a
0.0,0.0,0.0,5f4f93bcb46af5055714d433:TSS_RECONF_111022,5f4f93bcb46af5055714d433
0.0,0.0,0.0,6467c9e2d169d6933ecdb639:TSS_RECONF_111022,6467c9e2d169d6933ecdb639
0.0,0.0,0.0,62f269f2a7751126ffb96a4c:TSS_RECONF_111022,62f269f2a7751126ffb96a4c
0.0,0.0,0.0,55ad7888fdf99b6eff50171d:TSS_RECONF_111022,55ad7888fdf99b6eff50171d
0.0,0.0,0.0,63fa2287bd13de487b3d7393:TSS_RECONF_111022,63fa2287bd13de487b3d7393
0.0,0.0,0.0,63d7b81d79044b73bfb50952:TSS_RECONF_111022,63d7b81d79044b73bfb50952
0.0,0.0,0.0,5f1230c4f57b2f06e2465477:TSS_RECONF_111022,5f1230c4f57b2f06e2465477
0.0,0.0,0.0,650c3f3a36d72f87324d708f:TSS_RECONF_111022,650c3f3a36d72f87324d708f
0.0,0.0,0.0,637656f618065b68614915b0:TSS_RECONF_111022,637656f618065b68614915b0
0.0,0.0,0.0,5c19fd69e567460001839e98:TSS_RECONF_111022,5c19fd69e567460001839e98
0.0,0.0,0.0,5ab9d6b0e734400001d9b76a:TSS_RECONF_111022,5ab9d6b0e734400001d9b76a
0.0,0.0,0.0,63b5681c49af1cbe651420bc:TSS_RECONF_111022,63b5681c49af1cbe651420bc
0.0,1.0,0.0,58b2338a898c2e0001a5ca56:TSS_RECONF_111022,58b2338a898c2e0001a5ca56
0.0,0.0,0.0,63da9d744c860382808770bd:TSS_RECONF_111022,63da9d744c860382808770bd
0.0,0.0,0.0,5ebe015ae70ab70008895dbd:TSS_RECONF_111022,5ebe015ae70ab70008895dbd
0.0,0.0,0.0,63f7a192f23f12b947c92d36:TSS_RECONF_111022,63f7a192f23f12b947c92d36
